2026-03-24 19:02:45 | INFO | CI | python=3.14.2
2026-03-24 19:02:45 | INFO | CI | os=Windows 11
2026-03-24 19:02:45 | INFO | CI | shell=powershell
2026-03-24 19:02:45 | INFO | CI | cwd=notebooks
2026-03-24 19:02:45 | INFO | CI | github_actions=False
2026-03-24 19:02:45 | INFO | CI | ROOT_PATH = .
2026-03-24 19:02:45 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-24 19:02:45 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-24 19:02:45 | INFO | CI | Logger configured.
2026-03-24 19:02:45 | INFO | CI | ========================
2026-03-24 19:02:45 | INFO | CI | Notebook executed successfully!
2026-03-24 19:02:45 | INFO | CI | ========================
2026-03-24 19:09:54 | INFO | CI | === RUN START ===
2026-03-24 19:09:54 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-24 19:09:54 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-24 19:09:54 | INFO | CI | python=3.14.2
2026-03-24 19:09:54 | INFO | CI | os=Windows 11
2026-03-24 19:09:54 | INFO | CI | shell=powershell
2026-03-24 19:09:54 | INFO | CI | cwd=notebooks
2026-03-24 19:09:54 | INFO | CI | github_actions=False
2026-03-24 19:09:54 | INFO | CI | ROOT_PATH = .
2026-03-24 19:09:54 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-24 19:09:54 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-24 19:09:54 | INFO | CI | Logger configured.
2026-03-24 19:09:55 | INFO | CI | ========================
2026-03-24 19:09:55 | INFO | CI | Notebook executed successfully!
2026-03-24 19:09:55 | INFO | CI | ========================
2026-03-24 19:11:43 | INFO | CI | === RUN START ===
2026-03-24 19:11:43 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-24 19:11:43 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-24 19:11:43 | INFO | CI | python=3.14.2
2026-03-24 19:11:43 | INFO | CI | os=Windows 11
2026-03-24 19:11:43 | INFO | CI | shell=powershell
2026-03-24 19:11:43 | INFO | CI | cwd=notebooks
2026-03-24 19:11:43 | INFO | CI | github_actions=False
2026-03-24 19:11:43 | INFO | CI | ROOT_PATH = .
2026-03-24 19:11:43 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-24 19:11:43 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-24 19:11:43 | INFO | CI | Logger configured.
2026-03-24 19:15:53 | INFO | CI | === RUN START ===
2026-03-24 19:15:53 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-24 19:15:53 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-24 19:15:53 | INFO | CI | python=3.14.2
2026-03-24 19:15:53 | INFO | CI | os=Windows 11
2026-03-24 19:15:53 | INFO | CI | shell=powershell
2026-03-24 19:15:53 | INFO | CI | cwd=notebooks
2026-03-24 19:15:53 | INFO | CI | github_actions=False
2026-03-24 19:15:53 | INFO | CI | ROOT_PATH = .
2026-03-24 19:15:53 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-24 19:15:53 | INFO | CI | SCRIPTS_PATH = scripts
